,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b0862,b0862,artQ,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGabcpp']
b0863,b0863,artI,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGabcpp']
b2478,b2478,dapA,0.9823718127269792,-1.7927209469784645e-16,-1.8248904577198996e-16,0.9823718127269794,True,['DHDPS']
b1606,b1606,folM,0.9823718127269792,-6.159879408560702e-16,-6.270415466687109e-16,0.9823718127269798,True,"['DHFR', 'DHMPTR']"
b1779,b1779,gapA,0.9823718127269792,-1.581061778841864e-16,-1.6094331681331258e-16,0.9823718127269793,True,"['E4PD', 'GAPD']"
b0048,b0048,folA,0.9823718127269792,-6.159879408560702e-16,-6.270415466687109e-16,0.9823718127269798,True,['DHFR']
b2923,b2923,argO,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSt3pp', 'ARGt3pp']"
b2927,b2927,epd,0.9823718127269792,-9.595324677410656e-16,-9.767508140095007e-16,0.9823718127269802,True,['E4PD']
b2315,b2315,folC,0.9823718127269792,-9.59532467738209e-16,-9.767508140065928e-16,0.9823718127269802,True,['DHFS']
b1288,b1288,fabI,0.9823718127269792,-9.595324677410652e-16,-9.767508140095003e-16,0.9823718127269802,True,"['EAR141y', 'EAR40y', 'EAR120y', 'EAR181y', 'EAR80x', 'EAR161y', 'EAR141x', 'EAR60y', 'EAR180y', 'EPMEACPR', 'EGMEACPR', 'EAR160x', 'EAR140x', 'EAR120x', 'EAR140y', 'EAR161x', 'EAR100x', 'EAR121y', 'EAR40x', 'EAR180x', 'EAR121x', 'EAR181x', 'EAR60x', 'EAR80y', 'EAR160y', 'EAR100y']"
b3930,b3930,menA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHNAOT4']
b3433,b3433,asd,0.9823718127269792,-5.271646420369235e-17,-5.366243566919536e-17,0.9823718127269792,True,['ASAD']
b4192,b4192,ulaG,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASCBPL']
b3622,b3622,waaL,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['O16A4Lpp', 'ECA4OALpp']"
b4195,b4195,ulaC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASCBptspp']
b4193,b4193,ulaA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASCBptspp']
b2262,b2262,menB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHNCOAS']
b0736,b0736,ybgC,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHNCOAT']
b4194,b4194,ulaB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASCBptspp']
b3793,b3793,wzyE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['ECAP3pp', 'ECAP2pp', 'ECAP1pp']"
b3785,b3785,wzzE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['ECAP3pp', 'ECAP2pp', 'ECAP1pp']"
b3058,b3058,folB,0.9823718127269792,-9.595324677382082e-16,-9.76750814006592e-16,0.9823718127269802,True,"['DHNPTE', 'DHNPA2r']"
b3792,b3792,wzxE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ECAtpp']
b0945,b0945,pyrD,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DHORD5', 'DHORD2']"
b1767,b1767,ansA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASNN']
b0828,b0828,iaaA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ASNN']
b2341,b2341,fadJ,0.9823718127269792,0.9720365831108292,0.989479309684731,0.010335229616149966,False,"['ECOAH8', 'HACD1', 'HACD2', 'ECOAH4', 'ECOAH6', 'ECOAH2', 'ECOAH1', 'ECOAH7', 'HACD5', 'HACD4', 'ECOAH3', 'HACD3', 'HACD6', 'ECOAH5', 'HACD8', 'HACD7']"
b1850,b1850,eda,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['OAADC', 'EDA']"
b2957,b2957,ansB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['GLUNpp', 'ASNNpp']"
